Miền,Ca,Chủ thể,Quan hệ,Đối tượng
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,Bệnh nhân,HAS_BIOMARKER,Glucose = 159 mg/dL
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,Bệnh nhân,HAS_BIOMARKER,BMI = 30.4 kg/m²
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,Bệnh nhân,HAS_BIOMARKER,BloodPressure = 66 mmHg
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,Bệnh nhân,CALCULATED_RISK,"Glucose × BMI = 4,834"
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,Bệnh nhân,EVALUATED_BY,Mô hình K-Nearest Neighbors
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,Mô hình K-Nearest Neighbors,PRODUCES,Xác suất rủi ro 54.5%
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,Xác suất rủi ro 54.5%,MAPS_TO_DISEASE,ICD-10 E11: Đái tháo đường Type 2
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,Bệnh nhân,STRATIFIED_AS,Nhóm Nguy cơ Cao
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,ICD-10 E11: Đái tháo đường Type 2,REQUIRES_DEVICE,Máy đo đường huyết Accu-Chek Instant
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,ICD-10 E11: Đái tháo đường Type 2,REQUIRES_DEVICE,Que thử đường huyết Accu-Chek Instant (hộp 50 que)
Đồ thị Tri thức Y sinh,Nhóm Nguy cơ Cao — bệnh nhân #192,ICD-10 E11: Đái tháo đường Type 2,REQUIRES_DEVICE,Kim chích máu Accu-Chek Softclix (hộp 25 kim)
